id,phrase_id,role,text,kind,start,end,source_start,source_end,alignment_score,status,flags
lead-001-w001,lead-001,lead,Undone.,lyric,0.665816,1.171816,0.283,0.789,0.568,needs_review,audible_tail_after_alignment
lead-002-w001,lead-002,lead,Undone,lyric,9.124816,9.625816,8.742,9.243,0.702,machine_aligned,
lead-002-w002,lead-002,lead,until,lyric,9.726816,10.287816,9.344,9.905,0.751,machine_aligned,
lead-002-w003,lead-002,lead,we,lyric,10.328816,10.528816,9.946,10.146,0.846,machine_aligned,
lead-002-w004,lead-002,lead,set,lyric,10.568816,10.829816,10.186,10.447,0.768,machine_aligned,
lead-002-w005,lead-002,lead,the,lyric,10.969816,11.110816,10.587,10.728,0.959,machine_aligned,
lead-002-w006,lead-002,lead,monsters,lyric,11.270816,11.852816,10.888,11.47,0.892,machine_aligned,
lead-002-w007,lead-002,lead,"loose,",lyric,11.992816,13.557816,11.61,13.175,0.713,needs_review,sustain_review
lead-002-w008,lead-002,lead,oh,lyric,13.858816,14.139816,13.476,13.757,0.879,machine_aligned,
lead-002-w009,lead-002,lead,my.,lyric,14.199816,14.640816,13.817,14.258,0.919,needs_review,audible_tail_after_alignment
lead-003-w001,lead-003,lead,La,vocalization,16.564816,16.745816,16.182,16.363,0.608,needs_review,text_review; vocalization_syllables_provisional
lead-003-w002,lead-003,lead,da,vocalization,16.765816,16.905816,16.383,16.523,0.578,needs_review,text_review; vocalization_syllables_provisional
lead-003-w003,lead-003,lead,da,vocalization,16.925816,17.287816,16.543,16.905,0.776,needs_review,text_review; vocalization_syllables_provisional
lead-003-w004,lead-003,lead,na,vocalization,17.387816,17.608816,17.005,17.226,0.788,needs_review,text_review; vocalization_syllables_provisional
lead-003-w005,lead-003,lead,na,vocalization,17.629816,17.850816,17.247,17.468,0.686,needs_review,text_review; vocalization_syllables_provisional
lead-003-w006,lead-003,lead,na,vocalization,18.030816,18.714816,17.648,18.332,0.919,needs_review,text_review; vocalization_syllables_provisional; sustain_review
lead-003-w007,lead-003,lead,na,vocalization,18.814816,18.995816,18.432,18.613,0.806,needs_review,text_review; vocalization_syllables_provisional
lead-003-w008,lead-003,lead,na,vocalization,19.055816,19.196816,18.673,18.814,0.49,needs_review,weak_acoustic_match; text_review; vocalization_syllables_provisional
lead-003-w009,lead-003,lead,na.,vocalization,19.356816,19.778816,18.974,19.396,0.476,needs_review,weak_acoustic_match; text_review; vocalization_syllables_provisional; audible_tail_after_alignment
lead-004-w001,lead-004,lead,Got,lyric,21.865816,22.006816,21.483,21.624,0.644,needs_review,audible_attack_before_alignment
lead-004-w002,lead-004,lead,the,lyric,22.026816,22.206816,21.644,21.824,0.765,machine_aligned,
lead-004-w003,lead-004,lead,hang,lyric,22.247816,22.548816,21.865,22.166,0.608,machine_aligned,
lead-004-w004,lead-004,lead,of,lyric,22.628816,22.849816,22.246,22.467,0.691,machine_aligned,
lead-004-w005,lead-004,lead,every,lyric,23.010816,23.472816,22.628,23.09,0.699,machine_aligned,
lead-004-w006,lead-004,lead,face,lyric,23.512816,24.095816,23.13,23.713,0.764,machine_aligned,
lead-004-w007,lead-004,lead,you,lyric,24.115816,24.436816,23.733,24.054,0.729,machine_aligned,
lead-004-w008,lead-004,lead,made.,lyric,24.496816,25.179816,24.114,24.797,0.851,needs_review,sustain_review
lead-005-w001,lead-005,lead,Have,lyric,27.026816,27.187816,26.644,26.805,0.702,needs_review,audible_attack_before_alignment
